CurrentLoan,CreditScore,Income,Years,Debt,YearsofCreditHistory,Delinquent,OpenAccounts,CreditProblems,CreditBalance,MaxOpenCredit
611314,747,2074116,10,42000.83,21.8,0,9,0,621908,1058970
266662,734,1919190,10,36624.4,19.4,0,11,0,679573,904442
153494,709,871112,2,8391.73,12.5,10,10,0,38532,388036
176242,727,780083,10,16771.87,16.5,27,16,1,156940,531322
321992,744,1761148,10,39478.77,26,44,14,0,359765,468072
202928,741,760380,1,6526.69,13.8,0,6,0,258647,476872
621786,733,1783606,10,36563.98,15.3,0,42,0,281599,1449162
266794,,,1,12336.89,5.8,0,9,0,233206,342232
266288,683,2031518,2,12443.1,24.4,56,8,2,31445,251130
121110,,,1,10749.44,19.2,52,4,0,102087,198330
258104,723,1284514,7,6368.99,14.6,64,12,0,128402,266904
161722,680,504374,7,6094.63,9.5,0,13,0,167903,388828
753016,,,5,9627.49,21.7,21,9,0,384522,657646
444664,,,5,22817.86,17.9,8,25,0,318953,971872
172282,696,669560,3,17966.78,18.2,0,16,0,431490,999262
275440,729,1236976,6,21647.08,35.8,0,13,0,151088,264242
218834,742,1077262,3,19390.64,24.5,29,37,0,212800,502876
99999999,715,442339,1,14007.18,17,25,14,0,65474,284966
99999999,715,694526,8,4358.22,17.3,47,5,0,137332,272734
346610,744,2245116,2,24134.94,17.6,68,14,0,729695,1307922
99999999,747,1394676,5,5834.33,31.9,0,7,0,164350,569778
219648,722,682898,10,18893.79,15.5,0,8,0,347396,553300
334620,740,963300,10,16536.65,16.4,55,17,0,330581,843128
219868,736,683582,6,9057.49,9.6,0,8,0,121467,215380
222816,708,990185,4,6031.93,17.5,0,8,1,125020,343860
108416,,,10,41882.46,20.4,0,11,0,827051,1003816
108152,705,747156,4,20235.38,19.9,15,14,0,174344,348062
174724,,,5,11341.29,8.2,0,4,0,85633,126632
404008,,,6,42159.86,15.9,0,16,0,684950,1054636
360228,740,2138906,10,27984.15,15.5,18,8,0,164008,225280
218724,,,1,4967.36,11,6,7,0,16511,108064
441012,738,979716,10,12899.67,27.3,0,11,0,380228,608938
337370,717,1146004,1,14802.33,21,32,9,0,256139,423104
765688,706,5951484,3,61498.63,22.4,0,13,0,549100,1464980
468908,6470,1833842,8,5898.93,14.4,0,19,1,183863,809490
219428,712,1301671,0,22237.03,15.6,0,9,0,458679,624096
574904,706,1306592,9,8078.99,14,0,4,0,1596,306196
401192,704,1539912,10,27500.41,22,0,18,0,423092,769054
257444,736,648508,10,5944.53,17.5,46,10,0,204516,621566
309694,,,10,23473.17,26,38,10,0,402059,650188
214258,,,1,7207.46,12.8,69,10,1,209361,338580
325754,,,4,14301.3,25,13,11,0,165186,466532
651354,,,10,32314.25,19.1,37,21,0,356687,1868768
262108,733,855342,7,9194.86,22.8,0,5,0,110884,224840
310376,,,2,5101.12,8.5,0,10,0,126179,241890
429616,,,10,21998.58,22.3,25,12,0,321898,847066
414744,706,1164225,10,14746.66,10.5,0,17,0,258172,797170
654126,646,2504504,9,14818.48,31.9,11,7,0,130264,187594
539990,682,1790807,2,24026.64,17.3,53,13,1,81358,382910
531476,,,10,30122.6,26.4,0,26,0,658559,3272720
316426,717,683183,1,16453.24,15,2,10,0,136952,554488
473902,713,1042511,5,22240.45,14,0,7,0,232655,386496
223344,716,1195898,10,11759.86,17.6,71,7,0,94677,167618
766238,649,1796165,1,36821.24,33.1,0,10,0,510093,925760
471152,688,1017279,1,14496.24,8.5,0,7,0,115444,218064
563486,747,2647308,2,45666.12,16.8,0,26,0,137256,2337082
219824,702,2088328,1,22275.41,21.7,0,13,1,155800,451044
304986,674,4872778,3,30130.01,21.9,26,13,0,155078,1081740
105666,742,806170,4,15135.78,15.9,0,10,0,226708,653026
346412,,,9,7824.39,14.8,74,10,0,333678,482966
253506,733,1403492,4,30525.78,26.7,40,19,0,16492,149138
170126,712,1137492,3,3564.21,12.5,40,5,0,70205,109692
134398,746,2205425,10,38447.83,33.5,0,15,0,668629,1084314
442948,719,956365,2,26618.81,8,0,17,0,384351,1101562
142868,740,2429815,10,14781.43,31,52,15,0,189449,507782
332508,707,926345,4,13895.27,19.6,0,9,0,356554,571010
235950,726,1164396,7,13390.63,15.7,0,7,0,168074,321156
290708,7440,1487776,10,10067.15,17.1,0,9,0,387277,1047706
153714,740,995714,10,13939.92,21.7,0,8,0,218614,371184
69366,731,1273133,3,28433.5,20.5,0,11,0,84930,339086
108878,751,1316434,10,4377.22,37.5,0,18,0,354920,2151556
288068,685,948062,2,22121.32,14.5,0,13,0,358359,527912
447436,722,1159266,10,20287.25,43.4,0,17,0,448514,1022318
401192,721,1116440,4,14792.83,13.5,48,9,0,431414,731368
165440,,,3,8257.21,12.2,0,7,0,54986,117260
168124,7110,967955,1,14519.42,14.5,34,18,0,143697,311608
306460,652,3503106,7,7590.12,10.2,0,9,0,133817,303226
657162,740,3783660,3,25508.07,15.2,13,14,0,579937,948464
314072,748,627722,10,9959.99,29.2,0,11,0,211242,1881462
763686,740,2581663,3,46469.82,25.6,0,15,0,1137036,3033580
526900,667,1516808,10,22246.53,23,6,7,0,196992,254584
330132,743,1520608,8,17613.76,17,7,15,0,133133,213510
774928,,,1,50060.44,15.9,43,11,0,721715,1069992
531124,,,1,30020.95,19,0,22,1,563293,949388
292072,,,4,15030.33,9.8,0,10,0,304133,525602
