YearBuilt,Elevators,Area,Manager,Floor,APT,FacilitiesNearBy(PublicOffice),FacilitiesNearBy(Mall),FacilitiesNearBy(Hospital),FacilitiesNearBy(Park),FacilitiesNearBy(DepartmentStore),FacilitiesInApt,Parkinglot(Ground),Parkinglot(Basement),TimeToBusStop,TimeToSubway,SchoolNearBy(Elementary),SchoolNearBy(High),SchoolNearBy(Middle),SchoolNearBy(University),SalePrice
2006,,814,3,3,3,2,1,1,,1,5,111,184,10,6,3,2,2,2,141592
1985,2,587,2,8,1,5,1,1,1,2,3,8,76,1,29,2,1,1,,51327
1985,2,587,2,6,1,5,1,1,1,2,3,8,76,0,26,2,1,1,,48672
2006,11,256,5,8,6,1,1,1,,,5,249,536,7,5,2,1,2,2,3853
1993,2,1761,8,3,8,6,1,2,,,4,523,536,6,3,4,5,3,5,221238
1992,1,355,5,5,3,7,1,1,1,1,3,2,,15,26,4,5,3,5,3584
1992,8,644,4,2,3,5,1,1,,1,3,142,79,19,29,3,4,3,4,78318
1993,2,644,8,1,8,6,1,2,,,4,523,536,23,20,4,5,3,5,61946
1993,2,644,8,3,8,6,1,2,,,4,523,536,29,22,4,5,3,5,847
1992,8,644,4,13,3,5,1,1,,1,3,142,79,1,11,3,4,3,4,83185
1986,27,1377,8,4,7,5,,1,1,1,4,713,,22,16,3,1,1,1,168141
1986,27,914,8,11,7,5,,1,1,1,4,713,,5,12,3,1,1,1,153982
2007,16,868,14,18,7,3,1,1,2,2,1,,127,8,1,3,2,3,2,2884
1985,2,587,2,7,1,5,1,1,1,2,3,8,76,9,16,2,1,1,,6176
1986,2,91,1,7,1,5,1,1,1,2,3,1,18,10,1,6,3,2,2,93362
1993,2,1288,8,24,8,6,1,2,,,4,523,536,2,29,4,5,3,5,18584
1993,2,914,8,2,8,6,1,2,,,4,523,536,6,25,4,5,3,5,12796
1992,1,576,5,5,3,7,1,1,1,1,3,2,,30,8,4,5,3,5,6461
1993,2,1451,8,1,8,6,1,2,,,4,523,536,0,6,4,5,3,5,176991
1992,1,576,5,1,3,7,1,1,1,1,3,2,,16,30,4,5,3,5,55752
1992,1,355,5,3,3,7,1,1,1,1,3,2,,26,7,4,5,3,5,3853
1993,2,644,8,2,8,6,1,2,,,4,523,536,19,9,4,5,3,5,9235
2007,16,868,14,18,7,3,1,1,2,2,1,,127,14,11,3,2,3,2,18161
1986,27,1131,8,7,7,5,,1,1,1,4,713,,23,23,3,1,1,1,165486
2007,16,868,14,12,7,3,1,1,2,2,1,,127,6,13,3,2,3,2,19823
2007,16,868,14,3,7,3,1,1,2,2,1,,127,13,24,3,2,3,2,18584
2007,16,1643,14,39,7,3,1,1,2,2,1,,127,20,0,3,2,3,2,448672
2007,16,1387,14,38,7,3,1,1,2,2,1,,127,27,23,3,2,3,2,371681
2006,11,93,3,1,3,3,1,1,,1,4,123,181,27,5,4,3,3,1,167964
2007,16,868,14,13,7,3,1,1,2,2,1,,127,30,30,3,2,3,2,19823
1997,4,644,2,15,1,7,1,1,1,2,5,82,56,17,3,4,,,3,74336
1985,2,587,2,5,1,5,1,1,1,2,3,8,76,20,5,2,1,1,,4692
1985,2,676,2,7,1,5,1,1,1,2,3,8,76,24,27,2,1,1,,61946
2006,11,256,5,2,6,1,1,1,,,5,249,536,0,3,2,1,2,2,29235
1993,2,1761,8,15,8,6,1,2,,,4,523,536,8,22,4,5,3,5,221238
1992,1,355,5,13,3,7,1,1,1,1,3,2,,13,21,4,5,3,5,38495
1992,1,576,5,2,3,7,1,1,1,1,3,2,,3,17,4,5,3,5,6619
1993,2,914,8,9,8,6,1,2,,,4,523,536,28,0,4,5,3,5,13853
1992,1,355,5,5,3,7,1,1,1,1,3,2,,18,28,4,5,3,5,39823
1992,1,355,5,1,3,7,1,1,1,1,3,2,,24,16,4,5,3,5,36283
1993,2,644,8,18,8,6,1,2,,,4,523,536,1,0,4,5,3,5,9292
1993,2,1451,8,17,8,6,1,2,,,4,523,536,25,20,4,5,3,5,176991
1993,2,914,8,16,8,6,1,2,,,4,523,536,19,15,4,5,3,5,134513
1992,8,644,4,7,3,5,1,1,,1,3,142,79,29,2,3,4,3,4,77876
1993,2,644,8,17,8,6,1,2,,,4,523,536,24,24,4,5,3,5,8584
1992,8,1448,4,11,3,5,1,1,,1,3,142,79,29,9,3,4,3,4,141592
1993,2,644,8,12,8,6,1,2,,,4,523,536,4,25,4,5,3,5,9823
1992,1,355,5,8,3,7,1,1,1,1,3,2,,6,6,4,5,3,5,35398
1993,2,1288,8,15,8,6,1,2,,,4,523,536,8,22,4,5,3,5,159292
1993,2,644,8,14,8,6,1,2,,,4,523,536,28,14,4,5,3,5,95575
2005,,743,6,8,8,5,1,2,,,7,67,798,23,23,3,4,4,4,147787
2007,16,1387,14,42,7,3,1,1,2,2,1,,127,21,4,3,2,3,2,3477
2007,16,868,14,7,7,3,1,1,2,2,1,,127,24,26,3,2,3,2,197345
2007,16,868,14,7,7,3,1,1,2,2,1,,127,25,10,3,2,3,2,181415
2007,16,1387,14,28,7,3,1,1,2,2,1,,127,12,17,3,2,3,2,34617
1985,2,587,2,9,1,5,1,1,1,2,3,8,76,17,27,2,1,1,,55752
2007,5,1334,5,1,2,4,1,1,1,2,5,7,65,5,11,2,1,1,1,347787
2007,5,1334,5,17,2,4,1,1,1,2,5,7,65,4,6,2,1,1,1,347787
2007,5,1444,5,16,2,4,1,1,1,2,5,7,65,29,14,2,1,1,1,383185
2007,5,169,5,22,2,4,1,1,1,2,5,7,65,22,18,2,1,1,1,462831
2007,5,1629,5,4,2,4,1,1,1,2,5,7,65,12,18,2,1,1,1,4779
